gvkey,fyear,fyend,date,comnam,sic,ret,vwretd,sprtrn
001161,2014,12,31mar2014,ADVANCED MICRO DEVICES INC,3674,.0808625817298889,.004501169,.006932158
001161,2014,12,30apr2014,ADVANCED MICRO DEVICES INC,3674,.0199501048773527,.001670388,.006200797
001161,2014,12,30may2014,ADVANCED MICRO DEVICES INC,3674,-.0220049265772104,.0202225,.02103028
001161,2014,12,30jun2014,ADVANCED MICRO DEVICES INC,3674,.0475000143051147,.02796136,.01905831
001161,2014,12,31jul2014,ADVANCED MICRO DEVICES INC,3674,-.066825769841671,-.02053673,-.01507986
001161,2014,12,29aug2014,ADVANCED MICRO DEVICES INC,3674,.0664961561560631,.04020714,.03765532
001161,2014,12,30sep2014,ADVANCED MICRO DEVICES INC,3674,-.1822541952133179,-.02513202,-.01551386
001161,2014,12,31oct2014,ADVANCED MICRO DEVICES INC,3674,-.1788856685161591,.02119622,.02320146
001161,2014,12,28nov2014,ADVANCED MICRO DEVICES INC,3674,-.0035714253317565,.02115908,.02453358
001161,2014,12,31dec2014,ADVANCED MICRO DEVICES INC,3674,-.0430107116699219,-.00362207,-.004188512
001161,2015,12,30jan2015,ADVANCED MICRO DEVICES INC,3674,-.0374532341957092,-.02720094,-.03104085
001161,2015,12,27feb2015,ADVANCED MICRO DEVICES INC,3674,.2101167291402817,.05602062,.05489251
001161,2015,12,31mar2015,ADVANCED MICRO DEVICES INC,3674,-.138263612985611,-.0104534,-.01739606
001161,2015,12,30apr2015,ADVANCED MICRO DEVICES INC,3674,-.1567164361476898,.008715708,.008520762
001161,2015,12,29may2015,ADVANCED MICRO DEVICES INC,3674,.0088495491072536,.01034533,.01049144
001161,2015,12,30jun2015,ADVANCED MICRO DEVICES INC,3674,.0526316352188587,-.01926209,-.02101177
001161,2015,12,31jul2015,ADVANCED MICRO DEVICES INC,3674,-.1958333849906921,.01211286,.01974204
001161,2015,12,31aug2015,ADVANCED MICRO DEVICES INC,3674,-.0621761716902256,-.06004574,-.0625808
